,qualifyId,raceId,driverId,constructorId,number,position_indiv,position_team,Fastest_Qual,year,round,Rainfall,Air Temp,Track Temp,Wind Speed,Single,Throttle,Brake
148,7685,996,8,6,7,6,4.5,01:30.8,2018,8,1/2 Race,23.08082192,31.09589041,0.932876712,No,57.01504419919838,0.3549662329105584
149,7686,996,832,4,55,7,9.5,01:32.0,2018,8,1/2 Race,23.08082192,31.09589041,0.932876712,No,34.47614341404491,0.16372920441442926
150,7687,996,844,15,16,8,11.5,01:32.1,2018,8,1/2 Race,23.08082192,31.09589041,0.932876712,No,66.21193652885302,0.4516005051336957
151,7688,996,825,210,20,9,9.5,01:31.5,2018,8,1/2 Race,23.08082192,31.09589041,0.932876712,No,61.036951627958054,0.42123757755449404
152,7689,996,154,210,8,10,9.5,01:31.5,2018,8,1/2 Race,23.08082192,31.09589041,0.932876712,No,65.40838961181574,0.5238016801185966
153,7690,996,839,10,31,11,12.0,01:32.1,2018,8,1/2 Race,23.08082192,31.09589041,0.932876712,No,63.10267391423708,0.508647669247241
154,7691,996,807,4,27,12,9.5,01:32.1,2018,8,1/2 Race,23.08082192,31.09589041,0.932876712,No,59.442595947949265,0.44880030747268435
155,7692,996,815,10,11,13,12.0,01:32.5,2018,8,1/2 Race,23.08082192,31.09589041,0.932876712,No,65.93905452149563,0.5148520287706583
156,7693,996,842,5,10,14,15.5,01:32.4,2018,8,1/2 Race,23.08082192,31.09589041,0.932876712,No,70.32828199637622,0.5196288365453248
157,7694,996,828,15,9,15,11.5,01:32.8,2018,8,1/2 Race,23.08082192,31.09589041,0.932876712,No,70.75649261516499,0.5199582715642673
158,7695,996,4,1,14,16,17.0,01:33.0,2018,8,1/2 Race,23.08082192,31.09589041,0.932876712,No,81.5695931477516,0.7063635864492396
159,7696,996,843,5,28,17,15.5,01:33.0,2018,8,1/2 Race,23.08082192,31.09589041,0.932876712,No,82.59051227145446,0.6994454510514467
160,7697,996,838,1,2,18,17.0,01:33.2,2018,8,1/2 Race,23.08082192,31.09589041,0.932876712,No,76.911217262395,0.6716630977872948
161,7698,996,845,3,35,19,19.5,01:33.6,2018,8,1/2 Race,23.08082192,31.09589041,0.932876712,No,86.83242738703125,0.7657717015318728
162,7699,996,840,3,18,20,19.5,01:33.7,2018,8,1/2 Race,23.08082192,31.09589041,0.932876712,No,86.16998846977434,0.7423818151869543
163,7700,997,822,131,77,1,1.5,01:03.1,2018,9,Minimal,24.86969697,33.49242424,1.192424242,No,77.88453657948656,0.6502952874532963
164,7701,997,1,131,44,2,1.5,01:03.1,2018,9,Minimal,24.86969697,33.49242424,1.192424242,No,77.53338556104616,0.6129926479450404
165,7702,997,20,6,5,3,3.5,01:03.5,2018,9,Minimal,24.86969697,33.49242424,1.192424242,No,61.64939134626974,0.5001205254911414
166,7703,997,8,6,7,4,3.5,01:03.7,2018,9,Minimal,24.86969697,33.49242424,1.192424242,No,61.60063878510305,0.4493190309750512
167,7704,997,830,9,33,5,6.0,01:03.8,2018,9,Minimal,24.86969697,33.49242424,1.192424242,No,53.78281306496324,0.40870194046040736
168,7705,997,154,210,8,6,7.0,01:03.9,2018,9,Minimal,24.86969697,33.49242424,1.192424242,No,74.03820658069182,0.6375195853923105
169,7706,997,817,9,3,7,6.0,01:04.0,2018,9,Minimal,24.86969697,33.49242424,1.192424242,No,60.58930938893576,0.3946004579968663
170,7707,997,825,210,20,8,7.0,01:04.1,2018,9,Minimal,24.86969697,33.49242424,1.192424242,No,73.01868145112691,0.5709292515367
171,7708,997,832,4,55,9,9.5,01:04.6,2018,9,Minimal,24.86969697,33.49242424,1.192424242,No,34.35512835964806,0.21049777027841388
172,7709,997,807,4,27,10,9.5,01:04.7,2018,9,Minimal,24.86969697,33.49242424,1.192424242,No,37.15053633843558,0.2298421116066048
173,7710,997,839,10,31,11,14.0,01:04.8,2018,9,Minimal,24.86969697,33.49242424,1.192424242,No,73.11606604796914,0.6004579968663373
174,7711,997,842,5,10,12,15.5,01:04.9,2018,9,Minimal,24.86969697,33.49242424,1.192424242,No,73.07183319272026,0.5901530673737495
175,7712,997,844,15,16,13,16.5,01:05.0,2018,9,Minimal,24.86969697,33.49242424,1.192424242,No,75.77853441002772,0.5940701458358443
176,7713,997,4,1,14,14,15.0,01:05.0,2018,9,Minimal,24.86969697,33.49242424,1.192424242,No,70.19320236229963,0.5629143063757985
177,7714,997,840,3,18,15,16.5,01:05.3,2018,9,Minimal,24.86969697,33.49242424,1.192424242,No,80.25346510787031,0.6489092443051705
178,7715,997,838,1,2,16,15.0,01:05.3,2018,9,Minimal,24.86969697,33.49242424,1.192424242,No,79.50753284319633,0.7040496565023503
179,7716,997,815,10,11,17,14.0,01:05.3,2018,9,Minimal,24.86969697,33.49242424,1.192424242,No,77.33994214776425,0.6767506327588285
180,7717,997,845,3,35,18,16.5,01:05.3,2018,9,Minimal,24.86969697,33.49242424,1.192424242,No,80.98180065083766,0.7161624683620585
181,7718,997,843,5,28,19,15.5,01:05.4,2018,9,Minimal,24.86969697,33.49242424,1.192424242,No,82.25334458237917,0.7124261781366759
